name;align;eye;hair;sex;appearances;first_appearance
Tyler Bridge (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;4;2009
Aaron Downing (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;4;2010
Ahmed Noor (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;4;2010
Annie (Noh-Varr) (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;4;2010
Arachne (Earth-616);Злой персонаж;;Черные волосы;Женский персонаж;4;2010
Ben Huth (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;4;2010
Casey Kinmont (Earth-616);Добрый персонаж;Черные глаза;Черные волосы;Женский персонаж;4;2010
Cornell Gray (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;4;2010
Corregidora (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;4;2010
Firebrick (Earth-616);;;;Мужской персонаж;4;2010
Hairball 2 (Earth-616);Добрый персонаж;;Белые волосы;Мужской персонаж;4;2010
Iron Cross (Uberkommandos) (Earth-616);Злой персонаж;;;Мужской персонаж;4;2010
Keemia Alvarado (Earth-616);Нейтральный персонаж;Черные глаза;Черные волосы;Женский персонаж;4;2010
Lauren Wolfe (Earth-616);Добрый персонаж;;;Женский персонаж;4;2010
Lisk (Earth-616);;Темно-карие глаза;;Мужской персонаж;4;2010
Luz (Earth-616);Нейтральный персонаж;Голубые глаза;Русые волосы;Женский персонаж;4;2010
Mageth (Earth-616);Добрый персонаж;;Каштановые волосы;Женский персонаж;4;2010
Martillo (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;4;2010
Mercedes Merced (Earth-616);Нейтральный персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;4;2010
Mrs. Gwynn (Earth-616);Нейтральный персонаж;Черные глазные яблоки;Розовые волосы;Женский персонаж;4;2010
Oksana Sytsevich (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Женский персонаж;4;2010
Phanto (Earth-616);Злой персонаж;Желтые глаза;;Мужской персонаж;4;2010
Ray Cooper (Earth-616);;;;Мужской персонаж;4;2010
Robert Gomorra (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;4;2010
Royal Blue (Earth-616);;;;Мужской персонаж;4;2010
Sigmund Fell (Earth-616);Злой персонаж;Голубые глаза;;Мужской персонаж;4;2010
Susan Morse (Earth-616);Нейтральный персонаж;Голубые глаза;Русые волосы;Женский персонаж;4;2010
Thanatos (Earth-616);Нейтральный персонаж;;;Мужской персонаж;4;2010
Todd Keller (Earth-616);Нейтральный персонаж;Зеленые глаза;Русые волосы;Мужской персонаж;4;2010
Tyree Robinson (Earth-616);Добрый персонаж;;;Мужской персонаж;4;2010
Ul-Uhar (Earth-616);Нейтральный персонаж;Черные глаза;Без волос;Мужской персонаж;4;2010
Vasili Dassaiev (Earth-616);Злой персонаж;;;Мужской персонаж;4;2010
Will Stern (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;4;2010
Alter Ego (Earth-616);Злой персонаж;Желтые глаза;Без волос;Мужской персонаж;4;2011
Angela (Dinu) (Earth-616);Нейтральный персонаж;Голубые глаза;Русые волосы;Женский персонаж;4;2011
Austin Cao (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;4;2011
Chain (Legion Personality) (Earth-616);Злой персонаж;Белые глаза;Черные волосы;Мужской персонаж;4;2011
Coulmier (Earth-616);Злой персонаж;Голубые глаза;Черные волосы;Мужской персонаж;4;2011
Dieter Lehmann (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;4;2011
Friendless (Earth-616);Злой персонаж;Красные глаза;Белые волосы;Мужской персонаж;4;2011
Gus Grim (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;4;2011
Hoss (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;4;2011
Id (Selfish Moon) (Earth-616);Злой персонаж;Белые глаза;;Мужской персонаж;4;2011
James Dore Jr. (Zombie Clone) (Earth-616);Злой персонаж;;;Мужской персонаж;4;2011
Kaylie Doran (Earth-616);Добрый персонаж;;Русые волосы;Женский персонаж;4;2011
Klobok (Earth-616);Злой персонаж;Зеленые глаза;Без волос;Мужской персонаж;4;2011
Kuurth (Earth-616);Злой персонаж;Оранжевые глаза;Без волос;Мужской персонаж;4;2011
Kyle Richmond (Zombie Clone) (Earth-616);Злой персонаж;;;Мужской персонаж;4;2011
Lewis Green (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;4;2011
Linda Lewis (Zombie Clone) (Earth-616);Злой персонаж;Белые глаза;Русые волосы;Женский персонаж;4;2011
Macho Gomez (Earth-616);Злой персонаж;Красные глаза;Черные волосы;Мужской персонаж;4;2011
Paul Hall (Earth-616);;Зеленые глаза;Каштановые волосы;Мужской персонаж;4;2011
Perun (Dark Ocean Society) (Earth-616);;;;;4;2011
Rococo (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;4;2011
Sputnik (Dark Ocean Society) (Earth-616);;;;;4;2011
Time-Sink (Legion Personality) (Earth-616);Злой персонаж;Серые глаза;Черные волосы;Мужской персонаж;4;2011
Torran (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;4;2011
Azuma G\u014dda (Earth-616);Злой персонаж;Зеленые глаза;Черные волосы;Мужской персонаж;4;2012
Ben Goldendawn (Earth-616);Добрый персонаж;Белые глаза;;Мужской персонаж;4;2012
Calcabrina (Earth-616);Злой персонаж;;;Женский персонаж;4;2012
Camazotz (Earth-616);;;;Мужской персонаж;4;2012
Coyote (Earth-616);Злой персонаж;;;Мужской персонаж;4;2012
Darlene Wright (Earth-616);Нейтральный персонаж;Зеленые глаза;;Женский персонаж;4;2012
David Michael Gray (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;4;2012
Death-Stalker (Earth-616);Злой персонаж;;;Женский персонаж;4;2012
Dennis Wells (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;4;2012
Dragoon (Earth-616);Добрый персонаж;Красные глаза;;Мужской персонаж;4;2012
Dreaming Maiden (Earth-616);;;Черные волосы;Женский персонаж;4;2012
Evangelist (Earth-616);Злой персонаж;Черные глаза;Белые волосы;Мужской персонаж;4;2012
Fongji Wu (Earth-616);Добрый персонаж;Зеленые глаза;;Женский персонаж;4;2012
Forrest Goldendawn (Earth-616);Нейтральный персонаж;Голубые глаза;Каштановые волосы;Мужской персонаж;4;2012
Frederick Dukes (Clone) (Earth-616);Злой персонаж;Темно-карие глаза;;Мужской персонаж;4;2012
Gullveig (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Женский персонаж;4;2012
Harvester (Assassin) (Earth-616);Злой персонаж;;;Мужской персонаж;4;2012
Jacawitz (Earth-616);;;;Мужской персонаж;4;2012
Jake (Mutant) (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;4;2012
Keep (Earth-616);Злой персонаж;;;Мужской персонаж;4;2012
Living Wind (Earth-616);Злой персонаж;Желтые глаза;Каштановые волосы;Мужской персонаж;4;2012
Lyle Doorne (Earth-616);Злой персонаж;Красные глаза;Без волос;Мужской персонаж;4;2012
Redeemer (Microverse) (Earth-616);Добрый персонаж;;;Мужской персонаж;4;2012
Remus (Earth-616);Добрый персонаж;Красные глаза;;Женский персонаж;4;2012
Revolutionary (Dynasty) (Earth-616);Добрый персонаж;;;Мужской персонаж;4;2012
Savage (Earth-616);Добрый персонаж;Черные глаза;Без волос;Мужской персонаж;4;2012
Soldier One (Earth-616);Добрый персонаж;Карие глаза;Зеленые волосы;Мужской персонаж;4;2012
Tohil (Earth-616);;;;Мужской персонаж;4;2012
Tolor (Earth-616);Добрый персонаж;Голубые глаза;Белые волосы;Мужской персонаж;4;2012
Weather Witch (Earth-616);Добрый персонаж;Черные глаза;Черные волосы;Женский персонаж;4;2012
Yum Kaax (Earth-616);;Зеленые глаза;;Мужской персонаж;4;2012
Aleph (Garden) (Earth-616);Нейтральный персонаж;Желтые глаза;Без волос;Безполый персонаж;4;2013
Duncan Kilgore (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;4;2013
Esmeralda Lobo (Earth-616);Злой персонаж;Голубые глаза;Черные волосы;Женский персонаж;4;2013
Hermotha (Earth-616);Злой персонаж;;;Женский персонаж;4;2013
James Buchanan (Earth-616);;;;Мужской персонаж;4;2013
Joe Robards (Earth-616);Нейтральный персонаж;;Белые волосы;Мужской персонаж;4;2013
Makarioa Morbius (Earth-616);Нейтральный персонаж;;Черные волосы;Мужской персонаж;4;2013
Miss Coriander (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;4;2013
Nina Ambrose (Earth-616);Нейтральный персонаж;Голубые глаза;Русые волосы;Женский персонаж;4;2013
Shadrak (Earth-616);;;;Мужской персонаж;4;2013
Adur (Earth-616);Злой персонаж;Фиолетовые глаза;;Мужской персонаж;4;
Andre LeClare (Earth-616);Добрый персонаж;;Белые волосы;Мужской персонаж;4;
Bobcat (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;4;
Brad Hatcher (Earth-616);;;Черные волосы;Мужской персонаж;4;
Brian Mulroney (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;4;
Cairn (Earth-616);Злой персонаж;Желтые глаза;Каштановые волосы;Мужской персонаж;4;
Christine Hatcher (Earth-616);;;Русые волосы;Женский персонаж;4;
Condor (Contingency) (Earth-616);;;Черные волосы;Мужской персонаж;4;
Gloriole (Earth-616);Добрый персонаж;;;Мужской персонаж;4;
Jason (Argonaut) (Earth-616);Добрый персонаж;;;Мужской персонаж;4;
Killdeer (Earth-616);Злой персонаж;;;Мужской персонаж;4;
Kyle Hatcher (Earth-616);;;Русые волосы;Мужской персонаж;4;
Landslide (Outcasts) (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;4;
Lori (Earth-616);Добрый персонаж;;Черные волосы;Женский персонаж;4;
Margie White (Earth-616);;;;Женский персонаж;4;
Pink Lady (Earth-616);;Красные глаза;Розовые волосы;Женский персонаж;4;
Queen of Angels (Earth-616);Злой персонаж;Голубые глаза;Каштановые волосы;Женский персонаж;4;
Revelation (Earth-616);Нейтральный персонаж;;;Женский персонаж;4;
Shrike (Earth-616);Злой персонаж;;;Мужской персонаж;4;
Viciada (Earth-616);Злой персонаж;Фиолетовые глаза;;Женский персонаж;4;
Agent Monkton (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;4;
Alec Eiffel (Earth-616);Злой персонаж;;Русые волосы;Мужской персонаж;4;
Annie (Noh-Varr, Construct) (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;4;
Antonio Aggasiz (Earth-616);Нейтральный персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;4;
Asha (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;4;
B-329 (Earth-616);Добрый персонаж;Белые глаза;Без волос;Мужской персонаж;4;
Battle-Lon (Earth-616);Добрый персонаж;Серые глаза;Каштановые волосы;Мужской персонаж;4;
Bear (Earth-616);Нейтральный персонаж;;Русые волосы;Женский персонаж;4;
Blocks (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;4;
Briar Raleigh (Earth-616);Нейтральный персонаж;Зеленые глаза;;Женский персонаж;4;
Bull (Wakandan) (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;4;
Caninus (Earth-616);Добрый персонаж;Желтые глаза;Каштановые волосы;Мужской персонаж;4;
Clara (Earth-616);Добрый персонаж;Зеленые глаза;;Женский персонаж;4;
Dante (Inhuman) (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;4;
Elizabeth Braddock (Revenant) (Earth-616);Злой персонаж;Лиловые глаза;Фиолетовые волосы;Женский персонаж;4;
Ex Nihila (Earth-616);Злой персонаж;Зеленые глаза;;Женский персонаж;4;
Felinatus (Earth-616);Добрый персонаж;Зеленые глаза;Белые волосы;Мужской персонаж;4;
Gang (Earth-616);Добрый персонаж;Черные глаза;Черные волосы;Мужской персонаж;4;
Harrison (Earth-616);Добрый персонаж;;;Безполый персонаж;4;
Ivory Honeyshot (Earth-616);Добрый персонаж;;Русые волосы;Мужской персонаж;4;
Ja Kyee Lrurt (Earth-616);Добрый персонаж;Зеленые глаза;Черные волосы;Женский персонаж;4;
Jusuf Khan (Earth-616);Нейтральный персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;4;
Kim (Earth-616);Добрый персонаж;Желтые глаза;Черные волосы;Мужской персонаж;4;
Lash (Inhuman) (Earth-616);Злой персонаж;Красные глаза;Черные волосы;Мужской персонаж;4;
Loch (Earth-616);Добрый персонаж;Белые глаза;Без волос;Мужской персонаж;4;
Lord Ogre (Earth-616);Злой персонаж;;;Мужской персонаж;4;
Merree (Construct) (Earth-616);Злой персонаж;Зеленые глаза;;Женский персонаж;4;
Mr. Schlickeisen (Earth-616);;;Черные волосы;Мужской персонаж;4;
Nil (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;4;
Plorp (Earth-616);Добрый персонаж;Черные глаза;;;4;
Pom Pom (Earth-616);Добрый персонаж;Черные глаза;Черные волосы;Женский персонаж;4;
Ringer (Hobgoblin) (Earth-616);Злой персонаж;;;Мужской персонаж;4;
Roger Bochs Jr. (Earth-616);Добрый персонаж;;;Мужской персонаж;4;
Saul Creed (Earth-616);;;;Мужской персонаж;4;
Screwbeard (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;4;
Shri (Earth-616);Добрый персонаж;Черные глаза;Черные волосы;Женский персонаж;4;
Smasher VI (Earth-616);Добрый персонаж;;Русые волосы;Мужской персонаж;4;
Tom Brevoort (Earth-616);Нейтральный персонаж;;;Мужской персонаж;4;
Ud (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;4;
Verity Willis (Earth-616);Нейтральный персонаж;Темно-карие глаза;Каштановые волосы;Женский персонаж;4;
Vladimir (Bomb) (Earth-616);Нейтральный персонаж;Фиолетовые глаза;Без волос;Безполый персонаж;4;
Waziria (Earth-616);Добрый персонаж;Голубые глаза;Черные волосы;Женский персонаж;4;
Ken Masters (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;3;1939
Sha (Earth-616);Добрый персонаж;;;Женский персонаж;3;1939
Barnabus Mullen (Earth-616);Добрый персонаж;Голубые глаза;;Мужской персонаж;3;1940
Clara Crandall (Earth-616);Добрый персонаж;;Каштановые волосы;Женский персонаж;3;1940
Dale Sturm (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;3;1940
David Dean (Earth-616);Добрый персонаж;Темно-карие глаза;;Мужской персонаж;3;1940
Donovan Gorman (Earth-616);Добрый персонаж;Зеленые глаза;Каштановые волосы;Мужской персонаж;3;1940
Doyle Denton (Earth-616);Добрый персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;3;1940
K-4 (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;3;1940
Magar the Mystic (Earth-616);Добрый персонаж;Черные глаза;;Мужской персонаж;3;1940
Nora Jones (Earth-616);Добрый персонаж;;;Женский персонаж;3;1940
Ronald Wolverstone-Clodd (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;3;1940
Vampire (Earth-616);Злой персонаж;;;Мужской персонаж;3;1940
Zombie Master (Earth-616);Злой персонаж;Зеленые глаза;;Мужской персонаж;3;1940
Admiral Leeds (Earth-616);Добрый персонаж;;Белые волосы;Мужской персонаж;3;1941
Butterfly (Vitrioli) (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;3;1941
Emil Cullen (Earth-616);Злой персонаж;;;Мужской персонаж;3;1941
Eric Schmitt (Earth-616);Добрый персонаж;;;Мужской персонаж;3;1941
Wolfgang von Krantz (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;3;1941
Archie the Gruesome (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;3;1942
King Ra (Earth-616);Добрый персонаж;;Белые волосы;Мужской персонаж;3;1942
Ruffy Rabbit (Earth-616);Добрый персонаж;;;Мужской персонаж;3;1942
Attila the Hun (Earth-616);Злой персонаж;;;Мужской персонаж;3;1943
Martin Oksner Burns (Earth-616);Добрый персонаж;Голубые глаза;Русые волосы;Мужской персонаж;3;1943
Mrs. Ilse (Earth-616);Злой персонаж;;Каштановые волосы;Женский персонаж;3;1946
Verrill Shark (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;3;1947
Blaze (Dog) (Earth-616);Добрый персонаж;Темно-карие глаза;Золотые волосы;Мужской персонаж;3;1949
Sala\u1e25 ad-Din Yusuf ibn Ayyub (Earth-616);Нейтральный персонаж;;Черные волосы;Мужской персонаж;3;1949
Kanwi (Earth-616);Добрый персонаж;;Белые волосы;Мужской персонаж;3;1951
Crime Boss (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;3;1953
Korea Katie (Earth-616);Злой персонаж;;Черные волосы;Женский персонаж;3;1953
Mary Wilson (Earth-616);Добрый персонаж;;Черные волосы;Женский персонаж;3;1953
Panther Lady (Earth-616);Злой персонаж;;Черные волосы;Женский персонаж;3;1953
Doe Eyes (Earth-616);Добрый персонаж;;Черные волосы;Женский персонаж;3;1954
Colonel Frosby (Earth-616);Добрый персонаж;;;Мужской персонаж;3;1955
Guinevere (Earth-616);Добрый персонаж;;Черные волосы;Женский персонаж;3;1955
Nocona (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;3;1955
Thunder (Black Knight) (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;3;1955
Jess Wayne (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;3;1957
Adam Clayton (Earth-616);;Голубые глаза;Русые волосы;Мужской персонаж;3;1959
Bombu (Earth-616);Злой персонаж;Черные глаза;Оранжевые волосы;Мужской персонаж;3;1960
Krang (Monster) (Earth-616);Злой персонаж;;;Мужской персонаж;3;1960
Monstrom (Earth-616);Нейтральный персонаж;Один глаз;;Мужской персонаж;3;1960
Anne Benson (Earth-616);Нейтральный персонаж;Голубые глаза;Русые волосы;Женский персонаж;3;1961
Big Monk McGak (Earth-616);Злой персонаж;;Русые волосы;Мужской персонаж;3;1961
Creature from Krogarr (Earth-616);Злой персонаж;;;Мужской персонаж;3;1961
Crusher (Earth-616);Нейтральный персонаж;;Каштановые волосы;Мужской персонаж;3;1961
Ghost (Zero) (Earth-616);Нейтральный персонаж;;;Мужской персонаж;3;1961
Howard Lindley (Earth-616);Добрый персонаж;;;Мужской персонаж;3;1961
It (Artificial Lifeform) (Earth-616);Добрый персонаж;;;Мужской персонаж;3;1961
Living Totem (Alien) (Earth-616);Злой персонаж;;;;3;1961
Lucius P. Gregory (Earth-616);Злой персонаж;;;Мужской персонаж;3;1961
Manoo (Earth-616);;;;Мужской персонаж;3;1961
Mocuepa Tlalticpactli (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;3;1961
Monsteroso (Alien) (Earth-616);Нейтральный персонаж;;;Мужской персонаж;3;1961
Moomba (Earth-616);Злой персонаж;;;Мужской персонаж;3;1961
Rommbu (Earth-616);Злой персонаж;;;Мужской персонаж;3;1961
Baxter Bigelow (Earth-616);Добрый персонаж;Голубые глаза;Белые волосы;Мужской персонаж;3;1962
Doctor Graham (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;3;1962
Franz Radzik (Earth-616);Злой персонаж;;;Мужской персонаж;3;1962
Gorr (Kronans) (Earth-616);;;;Мужской персонаж;3;1962
Martian Who Stole a City (Earth-616);Злой персонаж;;;Мужской персонаж;3;1962
Mary Brown (Silver Age) (Earth-616);Добрый персонаж;Зеленые глаза;Каштановые волосы;Женский персонаж;3;1962
Santiago Rivera (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;3;1962
Thing From the Hidden Swamp (Earth-616);Добрый персонаж;;;Мужской персонаж;3;1962
Bestla (Earth-616);Добрый персонаж;;Русые волосы;Женский персонаж;3;1963
Bill Segrist (Earth-616);;;Каштановые волосы;Мужской персонаж;3;1963
Charlie (Teen Brigade) (Earth-616);Добрый персонаж;;;Мужской персонаж;3;1963
Fatal Finnegan (Earth-616);Нейтральный персонаж;;;Мужской персонаж;3;1963
Hatap (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;3;1963
Lee Kearns (Earth-616);Добрый персонаж;;;Мужской персонаж;3;1963
Zano (Xartan) (Earth-616);Злой персонаж;;;Мужской персонаж;3;1963
Bull (Criminal) (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;3;1964
Gullin (Boar God) (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;3;1964
Jules Bergen (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Мужской персонаж;3;1964
Kabir Mahadevu (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;3;1964
Pete (Earth-616);;;Черные волосы;Мужской персонаж;3;1964
Raggadorr (Earth-616);Нейтральный персонаж;;;Мужской персонаж;3;1964
Tom Smith (Earth-616);Добрый персонаж;;Каштановые волосы;Мужской персонаж;3;1964
Veronica Vogue (Earth-616);;Голубые глаза;Русые волосы;Женский персонаж;3;1964
Wrogg (Earth-616);Злой персонаж;Голубые глаза;Зеленые волосы;Мужской персонаж;3;1964
Xakku (Earth-616);;Красные глаза;Без волос;Мужской персонаж;3;1964
Cedric Rawlings (Earth-616);Злой персонаж;;;Мужской персонаж;3;1965
Curtis (Butler) (Earth-616);Добрый персонаж;;;Мужской персонаж;3;1965
Doris Raxton (Earth-616);;;;Женский персонаж;3;1965
Joe (Pilot) (Earth-616);;;Черные волосы;Мужской персонаж;3;1965
Madame Macabre (Earth-616);Злой персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;3;1965
Minotaur (Mole Man) (Earth-616);Злой персонаж;;;Мужской персонаж;3;1965
Rijk Rooten (Earth-616);Добрый персонаж;;;Мужской персонаж;3;1965
Sen-Yu (Earth-616);Добрый персонаж;;;Мужской персонаж;3;1965
Sentinel 1 (Earth-616);Злой персонаж;;;;3;1965
Sentinel 2 (Earth-616);Злой персонаж;;;;3;1965
Sentinel 6 (Earth-616);Злой персонаж;;;;3;1965
Sentinel 7 (Earth-616);Злой персонаж;;;;3;1965
Supramor (Earth-616);Злой персонаж;;;Мужской персонаж;3;1965
Asti the All-Seeing (Earth-616);Злой персонаж;;;;3;1966
Colosso (Earth-616);Нейтральный персонаж;;;Мужской персонаж;3;1966
Gorki (Earth-616);Злой персонаж;;;Мужской персонаж;3;1966
Mac (NYPD) (Earth-616);;;;Мужской персонаж;3;1966
Number One (Secret Empire 1) (Earth-616);Злой персонаж;;;Мужской персонаж;3;1966
Tommy Tomkins (Earth-616);;;Белые волосы;Мужской персонаж;3;1966
Whitey Mullins (Earth-616);;;Русые волосы;Мужской персонаж;3;1966
Abu Dakir (Earth-616);Злой персонаж;;Белые волосы;Мужской персонаж;3;1967
David Brinkley (Earth-616);Нейтральный персонаж;;;Мужской персонаж;3;1967
Flaming Star (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;3;1967
Gnome (Scientist) (Earth-616);Злой персонаж;Зеленые глаза;Черные волосы;Мужской персонаж;3;1967
Jamie Jacobs (Earth-616);;;;Мужской персонаж;3;1967
Mutaurus (Earth-616);Злой персонаж;Красные глаза;;Мужской персонаж;3;1967
Nina Bergson (Earth-616);;;;Женский персонаж;3;1967
Replica Model X-3 (Earth-616);Злой персонаж;Зеленые глаза;Без волос;Мужской персонаж;3;1967
Xorak (Earth-616);;Белые глаза;;Мужской персонаж;3;1967
Yuri Brushov (Earth-616);Злой персонаж;;Каштановые волосы;Мужской персонаж;3;1967
Brad Carter (Earth-616);;;;Мужской персонаж;3;1968
Carla Williams (Earth-616);;;;Женский персонаж;3;1968
Dr. Molinari (Earth-616);;Темно-карие глаза;Черные волосы;Мужской персонаж;3;1968
Gondolff (Asgardian) (Earth-616);Добрый персонаж;;Светло-розовые волосы;Мужской персонаж;3;1968
Greer (Earth-616);Нейтральный персонаж;Голубые глаза;Каштановые волосы;Женский персонаж;3;1968
Joe Morita (Earth-616);;;;Мужской персонаж;3;1968
P.D.Q. Werner (Earth-616);;;;Мужской персонаж;3;1968
Rex Griffin (Earth-616);;;;Мужской персонаж;3;1968
Roy Thomas (Earth-616);Добрый персонаж;;Русые волосы;Мужской персонаж;3;1968
Rynda (Earth-616);;Голубые глаза;Черные волосы;Женский персонаж;3;1968
Synthetic Man (Earth-616);Злой персонаж;;;;3;1968
Toshiro Monsoon (Earth-616);;;Черные волосы;Мужской персонаж;3;1968
Voltorg (Earth-616);Злой персонаж;;;;3;1968
Charles Gray (Earth-616);Злой персонаж;Темно-карие глаза;Каштановые волосы;Мужской персонаж;3;1969
Daydra (Earth-616);Добрый персонаж;Серые глаза;Черные волосы;Женский персонаж;3;1969
Gargantos (Earth-616);Злой персонаж;;;;3;1969
Gwenny Lee (Earth-616);;;Черные волосы;Женский персонаж;3;1969
Mei Ling (Earth-616);Добрый персонаж;Темно-карие глаза;Черные волосы;Женский персонаж;3;1969
Robert Rickard (Earth-616);Злой персонаж;;;Мужской персонаж;3;1969
Torpedo (Agent of Crime-Wave) (Earth-616);Злой персонаж;;;Мужской персонаж;3;1969
Ulysses Abboud (Earth-616);Злой персонаж;Темно-карие глаза;Без волос;Мужской персонаж;3;1969
Big Rock (Earth-616);Злой персонаж;;Черные волосы;Мужской персонаж;3;1970
Bisq (Earth-616);;;Зеленые волосы;Женский персонаж;3;1970
Carlos Cortez (Earth-616);Добрый персонаж;;Черные волосы;Мужской персонаж;3;1970
Fujiko Watanabe (Earth-616);;Темно-карие глаза;Черные волосы;Женский персонаж;3;1970
Goro Watanabe (Earth-616);;Темно-карие глаза;Черные волосы;Мужской персонаж;3;1970
Hans Klaus (Earth-616);Добрый персонаж;;Русые волосы;Мужской персонаж;3;1970
Kronin Krask (Earth-616);Злой персонаж;;Оранжевые волосы;Мужской персонаж;3;1970
Little Flower (Earth-616);Добрый персонаж;;;Мужской персонаж;3;1970
The Dude (Earth-616);Добрый персонаж;;;Мужской персонаж;3;1970
The Kid (Earth-616);Добрый персонаж;;;Мужской персонаж;3;1970
Tomo Yoshida (Earth-616);Злой персонаж;;;Мужской персонаж;3;1970
Top Man (Earth-616);Злой персонаж;Черные глаза;Черные волосы;Мужской персонаж;3;1970
Astrologer (Earth-616);Злой персонаж;;Белые волосы;Мужской персонаж;3;1971
Ben Crandal (Earth-616);Нейтральный персонаж;;Каштановые волосы;Мужской персонаж;3;1971
Blackrat (Earth-616);;;;Мужской персонаж;3;1971
Captain Cybor (Earth-616);Злой персонаж;;;Мужской персонаж;3;1971
Kuthulos (Earth-616);;;Черные волосы;Мужской персонаж;3;1971
Lionel Dibbs (Earth-616);;Темно-карие глаза;Черные волосы;Мужской персонаж;3;1971
Tragg (Earth-616);Злой персонаж;;;Мужской персонаж;3;1971
Zephra (Hyborian) (Earth-616);;Голубые глаза;Каштановые волосы;Женский персонаж;3;1971
Coral (Earth-616);Добрый персонаж;;Каштановые волосы;Женский персонаж;3;1972
Georgia Jenkins (Earth-616);Добрый персонаж;;Черные волосы;Женский персонаж;3;1972
Inheritor (Earth-616);Злой персонаж;Черные глаза;Без волос;Мужской персонаж;3;1972
Kartag (Earth-616);Добрый персонаж;;;Мужской персонаж;3;1972
